BIB Nr.;Athlete;Country;Year;Personal Best;City/Year;Distance;Gender
781;Lauris Grīniņš;LAT;2003;4:02.23 (1500);Latvian National Championships / 2021;Mile;M
784;Ernests Namnieks;LAT;2004;5:18.00;Pasaules čempionāts skriešanā, Rīga / 2023;Mile;M
97;Melanie Bovy ;BEL;1999;4:27.77 (1500);Provincial domain Huizingen, Huizingen (BEL) / 2021;Mile;W
98;Emily Junginger;GER;2006;Debut;;Mile;W
416;Elīna Gumarova;LAT;2000;5:10.90;Līvenhofas skrējiens / 2024;Mile;W
23;Alise Petrova;LAT;2005;5:14.00;Latvijas čempionāts jūdzes skrējienā, Rimi Rīgas maratons / 2023;Mile;W
212;Sibilla Vanadziņa;LAT;2007;5:06.30;Latvijas čempionāts jūdzes skrējienā, Rimi Rīgas maraton / 2024;Mile;W
110;Indra Mackeviča;LAT;2005;5:20.00;Latvijas čempionāts jūdzes skrējienā, Rimi Rīgas maratons / 2023;Mile;W
783;Lauma Keiša;LAT;2010;5:49.00;Pasaules čempionāts skriešanā - Masu skrējieni / 2023;Mile;W
782;Amanda Baranauska;LAT;2011;6:01.00;Latvijas čempionāts jūdzes skrējienā, Rimi Rīgas maratons / 2023;Mile;W
